Qty,partname,description,Package,Element 14 codes,Brand doesn't matter? (i.e. feel free to swap out)
1,,Yellow LED,0805 SMD,2099243,Y
1,,Red LED,0805 SMD,2099241,Y
1,LED,Green LED,0805 SMD,2099239,Y
1,CONN_01X07,,conn,1593414,Y
2,"R1,R12",100k ohm 0805 Resistor,0805 SMD,9332405,Y
3,"R12,R13,R14",470 ohm 0805 resisor,0805 SMD,9233962,Y
1,C1,1uF 0805 Capacitor,0805 SMD,2280689,Y
3,"C2,C5,C6",100nF 0805 Capacitor,0805 SMD,9406409,Y
5,"SW_LEFT, SW_RIGHT, SW_UP, SW_DOWN, SW_ENTER",Switches,SMD,1629605,Y
14,CONN_01X01,,conn,1593414,Y
1,CONN_01X04,,conn,1593414,Y
1,CONN_01X06,,conn,1593414,Y
1,STM32F030K6T6,STM32F030K6T6 Processor,stm32,2432085,N
1,BU2032-SM,Battery Connector,RUXCON2015,1216354,Y